OWASP Top 10 risk,Current status,Mitigation
A01 Broken Access Control,PASS,"/metrics protected by METRICS_TOKEN bearer middleware; role-based auth enforced on all admin routes; JWT validated in AuthMiddleware; banned-account enforcement added; media paths non-enumerable (UUID); X-Robots-Tag: noindex on media assets"
A02 Cryptographic Failures,PASS,"DB_SSL_MODE defaults to 'require'; production startup guard rejects disable; Redis TLS optional via REDIS_TLS_ENABLED; bcrypt for passwords (cost 12); JWT HS256 with secret guard; HTTPS enforced via nginx HSTS header"
A03 Injection,PASS,"All DB queries use sqlc parameterised statements; UUID path params validated with StringToUUID; HTML emails rendered with html/template (auto-escape); no raw string concatenation in SQL paths"
A04 Insecure Design,PASS,"forgot_password_token_expires_at column added (1-hour expiry); token cleared on use; password-reset token no longer valid indefinitely; admin_audit_log records all moderation actions"
A05 Security Misconfiguration,PASS,"nginx security headers: X-Frame-Options DENY, X-Content-Type-Options nosniff, Referrer-Policy, Permissions-Policy, HSTS, CSP; gin.SetMode(release) in production; placeholder guard rejects known weak secrets at boot; Docker base image pinned to golang:1.25.8-alpine"
A06 Vulnerable & Outdated Components,PASS,"govulncheck added to CI Go job; pnpm audit --audit-level=high added to CI frontend job; deprecated @codetrix-studio/capacitor-google-auth (Capacitor 6 only, archived) replaced with @capgo/capacitor-social-login v8.x (Capacitor 8 compatible)"
A07 Identification & Authentication Failures,PASS,"Redis-backed login lockout after 10 failed attempts (15-minute TTL); lockout cleared on successful login; per-minute sliding-window rate limiter remains on /auth/login; password-reset token expiry enforced (A04); SameSite=Lax on auth cookie"
A08 Software & Data Integrity Failures,PASS,"SameSite=Lax set on auth_token cookie in all three auth issuance paths (password, OTP, Google); RevenueCat webhook verified with shared secret; no serialized untrusted objects; HSTS and CSP reduce XSS-driven CSRF surface"
A09 Security Logging & Monitoring Failures,PASS,"Structured slog WARN logs on every auth_failure (unknown email, wrong password); admin_audit_log DB table records all ban/hide-message actions; admin_audit structured log emitted for hide_message; Grafana alert rules for auth-failure spike and 4xx spike added to config/observability/"
A10 Server-Side Request Forgery,PASS,"resolveURL/LookupURL in gmaps package now validates every URL (initial + each redirect hop) against an explicit allowlist: google.com, maps.app.goo.gl, goo.gl, maps.googleapis.com, places.googleapis.com; any other host — including internal addresses — returns an error"
